# htr=halvtransitiv
# durativ = perfektiv, ad->int

AASIINNGOOQ	<eo:lauxdire/part:som_vanlig_siges_det>
siuleraa	nil
siuliaqut	fornavn (-et)
siuliaqutaavoq	nil
siulippaa	grunder det; giver det det første lag maling
siulittarpaa	nil
siulittorpaa	forudsiger hvad fremtiden vil bringe for ham; spår ham
siulittugaavoq	nil
siulittuisartoq	spåkone (-n); spåmand (-en); profet (-en); seer (-en)
siulittuivoq	nil
siulittuut	forudsigelse (-n)
siulittuutigisaavoq	nil
siulittuutigaa	nil
siulittaasoq	formand
siulittaasoq	formand (-en); forstander (-en)
siulittaasoq	formand
siulittaasoq (tak. formandi)	formand
siulittaasoq; suleqatigiissut pisortaat/naalagaat	formand
siulittaasoqarfik	præsidium
Siulittaasoqarfik	Præsidium
siulittaasup tullia	næstformand (-en)
siulittaat	nil
siuliut	grundmaling (-en)
siulivut	nil
siulleeq	forben (-et)
siulleeq	fodben
siulleersooq	nil
siulleq	den første
siullermeerpoq	gør noget for første gang
siullermik	den første gang; for første gang; for det første; først
siullerpaalluni	nil
siullerpaaq	nil
siullersaat	nil
siullersaavoq	nil
siulliarsuit	folk i gamle dage; den ældre generation
siulliarsuk	nil
siulliarsuppasissoq (naleqq. pissuseqqaamisut ittoq aamma inersimar	primitiv
siulliat	den første
siulliikippoq	nil
siulliivi	nil
siulliulluni pisisinnaatitaasoq	forkøbsret
siulliulluni pisiumalluni nalunaarsinnaatitaaneq	fortegningsret
siulliulaarpoq	nil
siulliunersaavoq	nil
siulliunniarallaak	nil
siulliuppaa	laver det som den første blandt flere opgaver; prioriterer det frem
siulliussivoq	nil
siulliussaavoq	nil
siulliutillugit akiligassarititaasut	priviligerede fordringer
siulliutippaa	lader ham/det komme i første række
siulliuvoq	nil
siulliuvoq I	er den første; er den forreste
siulliuvoq II	går foran
siulliuvoq III	er foran (om et ur)
siullunneq	mellemørebetændelse
siullunneq; siutikkut maqisoorneq	mellemørebetændelse
siulluppoq	har ondt i øret/ørerne; har ørepine; har mellemørebetændelse
siulluut	nil
siulluutit	ørelidelser
siumioq	matros (-en)
siumioraa	nil
siumippoq	nil
siumippaa	nil
siummi bakteria	ørebakterie
siummiit qinngamut sulloq	eustachisk rør
siummik misissuineq	undersøgelse af øret
siummioqarpoq	nil
siummippoq	lytter
siummippaa	lytter til ham
siummissarpoq	nil
siummiu	nil
siummut kuseriartagaq	ørendråber
siumoorlugu immersugassaq	forskudsskema
siumoorneq	forskud
siumoorneq	forskud
siumoorneq/akiliigallarneq	a conto
siumoorpoq	får forskud (på lønnen)
siumoorpaa	gør sin kæreste gravid før de bliver gift
siumoortippaa	nil
siumoortitsivoq	nil
siumoortumik	forskudsvis
siumoortumik	forskudsvis
siumoortumik akiliineq	forudbetaling
siumoortumik missingersuusiorneq	budgettering/budgetlægning
siumoortumik nalilersuineq	visitation
siumoortumik nalunaarsuineq; nalunaarsueqqaarut	forskudsregistrering
siumoortumik nalunaarsuinermi immersugassaq	forskudsskema
siumoortumik nalunaarsuisitsisoq	forskudsregistrator
siumoortumik nalunaarsuititsisoq	forskudsregistrator
siumoortumik nalunaarsuut	forskudsregistrering
siumoortumik pensionisiaqartoq	førtidspension
siumoorut	nil
siumorneqarpoq	nil
siumorpaa	støder på ham/det; træffer ham/det på sin vej
siumorsimavaa	nil
siumuinnaq	nil
siumuinnaq attaveqarneq	énvejs-kommunikation
siumuivoq	nil
siumukarneq	fremgang (-en); fremskridt (-et)
siumukarneq (naleqq. ineriartorneq aamma alliartorneq)	progression
siumukarpallaanngilaq	nil
siumukarpoq	går frem; har fremgang; gør fremskridt
siumukartuarpoq	nil
siumukarunnaarpoq	nil
siumut	nil
Siumut	(navnet på et politisk parti i Grønland)
siumut	fremad
siumut akiliutit (qularnaveerutitut)	depositum
siumut ilisimatitsineq	varsel
siumut pilersaarusiaq; piumaartussatut taqamoriakkat/ takorluukkat	perspektivplan
siumut aalajangeereerneq	præjudicere
siumut aalajangereerneq	præjudicere
siumut-saappoq	er nu i bedring; nu går det fremad (om den syge efter en krise i sy
siuneerulluinnarpoq	nil
siuneeruppoq	ved hverken ud eller ind; bliver forvirret
siuneerutivippoq	nil
siuneq	ansigtsparti (-et); forparti (-et)
siuneqarpoq	er bevidst om
siuneqartippaa	nil
siuneqassuseq	forstand (-en)
siunersineq (LM)	erkendelse
siunersioqatigiinneq	supervision
siunersioqatigiinneq	rådslagning
siunersiorpaa	spørger ham til råds
siunersisaq	nil
siunersissaanngilaq	nil
siunersissaanngitsoq	ufattelig; uudgrundelig
siunersiuineq	konsultation
siunersiuineq (naleqq. saffiginninneq aamma nakorsiarneq)	konsultation
siunersiuminaatsut	overtro
siunersiutigaa	forhører sig om det
siunersivaa	erkende
siunersivaa I	hører hans mening; spørger ham til råds
siunersivaa II	forstår det; fatter det
siunersueqatigiinneq	konsultere
siunertaq	formål
siunertaq	formål (-et)
siunertaq; anguniagaq	målsætning
siunertaqarluni	bevidst
siunertaqarpoq	nil
siunertarisaq	intention
siunertarisaq	formål (-et)
siunertarisaq (naleqq. isuma aamma eqqarsaat)	mening
siunertarisaq inornartoq (naleqq. assigiumangaagaq aamma pitsaallua	ideal
siunertarisaasoq	intentionel
siunertaraa	nil
siunertaavoq	nil
siuneraa	nil
siunia	nil
siuniagut	nil
siunissaq	fremtid
siunissaq	fremtid (-en)
siunnak	øreben (-et)
siunnak	øreben
siunnanni	nil
siunnanniippoq	nil
siunnat	sneglen
siunnerarpoq	lytter
siunnerfeerunneq (naleqq. pakatsineq)	frustration
siunnerfigaa	nil
siunnerfik	det man sætter kursen efter
siunnerpaa	nil
siunnersorpaa	giver ham et råd; råder ham; foreslår ham noget
siunnersorti	konsulent
siunnersorti	rådgiver (-en); konsulent (-en)
siunnersorti	vejleder
siunnersortissaliineq	lavværgemål
siunnersuineq	rådgivning
siunnersuineq	rådgivning
siunnersuineq	rådgivning
siunnersuineq (naleqq. ilitsersuineq aamma siunnersuut aamma ilitse	vejledning
siunnersuisarfik	pædagogisk-psykologisk rådgivning
siunnersuisartoq	rådgivende/-ver
siunnersuisoq (naleqq. ilitsersuisoq)	vejleder
siunnersuisoqarfik	konsulenttjeneste
Siunnersuisoqarfik (KIS)	Konsulentformidlingen (KIS)
siunnersuisoqarneq	konsulentformidling
siunnersuisoqatigiiffik pooq	pooq, rådgivningsforeningen
siunnersuisoqatigiit	fællesrådet
siunnersuut	råd (-et); forslag (-et)
siunnersuut (naleqq. ilitsersuut aamma siunnersuineq aamma ilitsers	vejledning
siunnersuutigaa	nil
siunnersuutaavoq	nil
siunniuppaa	mener at det må være ham/det
siuserilaarpoq	nil
siuserineq	ørebetændelse
siuserisarpoq	nil
siuserivoq	har ondt i øret/ørerne; har ørepine; har mellemørebetændelse
siusinnerusukkut	på et tidligere tidspunkt
siusinaarpoq	er tidligt på den
siusinaarpaa	nil
Siusinaartumik pensionisiat	Førtidspension
siusinaartumik soraarnerussutisiaqalerneq/pisartagaqalerneq	førtidspension
siusinaartumik utoqqalinersiutisiat	førtidig aldersrente
siusippallaarpoq	nil
siusippoq	nil
siusippoq	er foran; er forud for de andre; er længere fremme
siusissoorpoq	nil
siusissumik akornusigaaneq	tidligt skadet
siussarippoq	har en god hørelse; hører godt
siussarissivoq	nil
siussarivippoq	nil
siussarluppoq	nil
siussarluttoq	nil
siut	øre
siut	øre (-t)
siut	øre
siutakippoq	nil
siutaq	nil
siutarippoq	nil
siutassiaq	nil
siutequtit I	høreapparat (-et)
siutequtit II	øreklapper (-ne)
siuteroq	snegl (-en)
siuterorsuaq	nil
siuteruusaq	nil
siuteruusaq	øresnegl
siutikippoq	nil
siutikitsuuvoq	nil
siutikkut maqisoorneq	mellemørebetændelse
siutini minik	ørevoks
siutini siorsunneq	tinnitus
siutinngunaqaaq	nil
siutinngunarpoq	det skærer i ørerne
siutinnguvoq	nil
siutip igalaasartaanik putusoorneq	hul i trommehinden
siutip igalaasaa	trommehinde
siutip igalaasaata iluatungaa	mellemøret
siutip ilorliup ilaa	labyrint
siutip iluani makittarissaat	buegange
siutip iluaniit toqqusaanut sulluaraq	eustachisk rør
siutip iluata tarpanganera	øretrompeten
siutip puaa	øreflip
siutip puaa	øreflip
siutip qiterlersaa	mellemøret
siutip sullua	øregang
siutip sullua	øregang
siutip uiluusaa	øremusling
siutisiortoq	ørentvist (-en)
siutitooq	mosehornugle
siutitooq	æsel (æslet)
siutitoorsuaq	muldyr (-et); mulæsel (mulæslet)
siutittorpoq	nil
siuttoq	harpunér (-en)
siuttuugajuppoq	nil
siuttuuvoq	nil
siutaarsigajuppoq	nil
siutaarsiunnaarpoq	nil
siutaarsivoq	fryser om ørerne
siutaaruppoq	nil
siutaarussuppaa	nil
siutaasat	nil
siutaatsoq	nil
siuuppaa	bringer den første portion af fangstudbyttet hjem
siuusakippoq	nil
siuusaq	bovspryd (-et)
siuusaqarpoq	nil
siuussaq	nil
siuussivoq	bringer noget af fangstudbyttet hjem i forvejen
siuussuivoq	nil
siuaakkiartorpaa	nil
siuaallappoq	nil
siuaappaa	nil
siuaaq	nil
siuaaqarpugut	nil
siuaasaq	nil
siuaasaraa	nil
siuaasat	forfædre (-ne)
siuaasatsinnit	nil
siuaasavut	nil
siuaavippaa	nil
siuaavut	nil
siuaavaa	er sakket agterud i forhold til ham
siveqanngilaq	er kortvarig; varer ikke længe
siveqqerput	nil
sivikillivoq	nil
sivikinnerusumik eqqamasat	korttids-hukommelse
sivikinaarsivoq	nil
sivikippoq	er kortvarig; varer ikke længe
sivikitsuinnarmik ikiorsiissuteqarneq	forbigående underholdshjælp
sivikitsuinnarmik; -gallartumik	midlertidig
sivikitsumik	kortvarig
sivikitsumik ajoqutissarsiviusumik sunnerneqarneq	kortvarig skadelig påvirkning
sivikitsumik eqqaamasaarunneq	black-out
sivikitsumik sermeqarfik	istid, den lille
sivikitsuuvoq	nil
sivinganeq	skråning (-en)
sivingarna	nil
sivingarnga	nil
sivingavoq	skråner
sivinngarilluinnarpoq	nil
sivinngarippoq	skråner stærkt
sivisooq	langvarig
sivisooq	langvarig
sivisoorsuaq	nil
sivisuallaaqaaq	nil
sivisujaaq	nil
sivisujaarsuaq	nil
sivisunersaat	nil
sivisunerusumik eqqaamasat	langtids-hukommelse
sivisunaarpaa I	bruger mere tid end beregnet; trækker det i langdrag
sivisunaarpaa II	tiden falder ham lang
sivisunaarpaa III	har varet længere end han ventede
sivisunaartoq	langtrukket; noget der trækker i langdrag
sivisussuseq (naleqq. soraajanngissuseq)	varighed
sivisussusileriigaanngitsumik inissiineq	anbringelse på ubestemt tid
sivisussusileriikkamik atorfeqartitsinermi patsisissaatitat	åremålsvilkår
sivisussusileriikkamik atorfeqartitaaneq	åremålsansættelse
sivisussusiligaanngitsoq	tidsubegrænset
sivisussusissaa killilernagu pineqatissiineq	tidsubestemt foranstaltning
sivisuumik	længerevarende
sivisuumik	længe; i lang tid
sivisuumik anoraasartut	monsun-system
sivisuumik napparsimaneq	længerevarende sygdom
Sivisuumik piffissalikkanit pisassat	Langsigtede tilgodehavender
sivisuvoq	er langvarig; varer længe; varer i lang tid
sivisuvoq	langvarig
sivitsorpallaarpoq	nil
sivitsorpoq	trækker ud (om tid); det er længe siden
sivitsorpaa	forlænger tiden
sivitsorpaa	prolongere
sivitsortaarpoq	messer
sivitsuigallarneq	prolongation
sivitsuigallarneq	prolongation
sivitsuineq	forlængelse
sivitsunngitsoq	inden der er gået lang tid; inden længe; efter en kortere tid
sivitsuummik	nil
sivitsuuserpaa	nil
sivitsuusersorpai	nil
sivitsuut	nil
sivitsuut (^)	accenttegnet for lang vokal (i den gamle grønlandske retskrivning)
siaaneq	sidekøl (-en) (på en kajak)
siaangasoorpoq	nil
siaangavoq	er udspændt; er strakt ud
siaangaannarpoq	nil
siaanilersorpaa	nil
siaarneq (naleqq. nittaaneq)	udfoldelse
siaarngi	nil
siaarngit	sidekølene på en kajak
siaarni	nil
siaarpoq	strækker sig ud; folder sig ud
siaarpaa	breder det ud; strækker det ud
siaarsineq	udstrækning
siaartartoq	nil
siaartartut	guirlander af papir; jakobsstige (-n) (juletræspynt)
siaartippaa	nil
siaartiterivoq	nil
skakkerfik	skakbræt (-tet)
skakkerneq	skakspil (-let)
skakki	skak (-ken)
skattebilleti	skattebillet
skattekorti	skattekort
skatterådit (tak. akileraartitsinermi qullersat)	skatteråd
skema	skema (-et); skoleskema (-et) (naleqq skiima)
skema	skema
skiima	skema (-et); skoleskema (-et) (naleqq skema)
skizofreni (isummakkut nappaatigalugu avissimasutut ilineq, attaveq	skizofreni
sklerose	sklerose
skoledirektøri	skoledirektør (-en)
skoledirektøri	skoledirektør
skoledistriktslederi	skoledistriktsleder
skoleinspektøri	skoleinspektør (-en)
skoleinspektøri	skoleinspektør
skolekommissioni	skolekommission
skolelederi	skoleleder
skolenævni	skolenævn
skrivemaskiina	skrivemaskine (-n)
skrællingit	skrællinger (-ne)
skuut	sko (-ene)
skuut singersortakkat	snøresko (-ene)
skåleerput	de skåler
skåleerta!	skål!
sliski	slisk (-en)
smokingi	smoking (-en)
SNA	SNA
snescooteri	snescooter (-en)
snescooteri (tak. aputikkoorut)	snescooter
snescooteri (tak. aputikkoorut)	snescooter
socialdirektøri	socialdirektør
socialisti	socialist (-en)
socialmedhjælperi	socialmedhjælper (-en)
socialmedhjælperi (tak. ikiuisarnermi ikiorti)	socialmedhjælper
socialmedhjælperi (tak. ikiuisarnermi ikiorti)	socialmedhjælper
socialrådgiveri	socialrådgiver (-en)
sociologii	sociologi
sodavandi	sodavand (-en)
sofa	sofa (-en)
solari	solarolie (-n)
sooq	hvorfor
sooq-aa	nil
soorli	nil
soorlikiaq	nil
soorlikiaq I	selvfølgelig
soorlikiaq? II	hvorfor mon?
soorlu	for eksempel; f.eks.; ligesom
soorlu imaattoq (naal s.i.)	for eksempel; f.eks.
soorlu imaattut (naal s.i.)	for eksempel; f.eks.
soorlu misigeriigaq	déjÃ -vu
soorlulusooq	nil
soorlusooq	nil
soorluuna	nil
soormi	nil
soornguna	nil
soorooq?	nil
sooruna	nil
sooruna I	nil
sooruna I	selvfølgelig
soorunami	selvfølgelig; naturligvis
soorunami	selvfølgelig
soqanngilaq	der er ikke nogen/noget
soqarpa?	nil
soqarpoq	nil
soqqalik	bardehval (-en)
soqqaq	hvalbarde (-n)
soqqarserpaa	nil
soqqarsorpaa	nil
soqqartalik	nil
soqqartaq	tøndebånd (-et)
soqqartassaq	et jernbånd til at lave tøndebånd af
soqqartaaruppoq	nil
soqqivoq	nil
soqquppiuk?	nil
soqquppaa?	nil
soqqusaalliorpoq	bærer sig hensynsløst ad
soqqusaappallaarpoq	nil
soqqusaappoq	er hensynsløs; er fræk
soqqusaatsuuvoq	nil
soqqaajarpaa	nil
soqqaarpaa	nil
soqqaartaat	nil
soqulavoq	deltager i en sang- og dansefest (i Grønland i tidligere tid)
soqulleq	nil
soqulliarpoq	nil
soqullivoq	nil
soqunnerpaa?	nil
soqunninngilaa	det rører ham ikke
soqunniutinngilaq	nil
soquserpaa	nil
soqusersinngivippaa	nil
soqutiginartoq	interessant
soqutiginngilaa	nil
soqutiginninneq (naleqq. qajassuussineq)	hensyntagen
soqutigisaq	interesse
soqutigisaq	interesse (-n); interesseområde (-t); noget der har interesse
soqutigisaqanngilluinnarneq	sygelig ligegyldighed
soqutigisaqaqatigiilluni piginneqatigiiffik	interessentskab
soqutigisaqarfigaa	interesserer sig for det; er interesseret i det
soqutigittaappoq	tager ingen hensyn; er ligeglad; er respektløs
soqutigittaatsoq	hensynsløs
soqutigittaatsoq	ansvarsløs
soqutigiunnaarpaa	nil
soqutigaa	er interesseret i det
soqutaanngilaq	det gør ikke noget; skidt med det; det er ligegyldigt; det er lige 
soqutaanngitsoq	ligegyldig
soqaa	nil
soqaana?	nil
soqaat?	nil
soraluaq	nevø (-en); niece (-n)
soraluaraa	nil
soralussi	nil
soriagassaanngissuseq (tak. tunillassaanngissuseq)	immunitet
soriarfissaarutitsineq (tak. periarfissaarutitsineq)	boykot
Sorlak	Sorlak
sorlak	nil
sorlak I	rod (-en)
sorlak II	rosenrod (-en) (en plante)
Sorlak III	Sorlak; Grønlands Ungdoms Fællesråd
Sorlak, Kalaallit Nunaanni meeqqat inuusuttullu siunnersuisoqatigii	Grønlands Ungdoms Fællesråd
sorlanippoq	har slået rod; har fået rødder; har rodfæstet sig
sorlappoq	nil
sorleq	hvilken af dem; hvilket af dem
sorleq?	nil
sorlermiippa?	nil
sorliarpoq	nil
sorliua?	nil
sorluit	næsehule
sorluit akunnequtaat	næseskillevæg
sorluit akunnequtaat	næseskillevæg
sorluk	næsebor
sorluk	næsebor (-et)
sorluk	næsebor
sorlukippoq	nil
sorlummigarpoq	pruster; fnyser
sorlummippoq	nil
sorlummissarpoq	nil
sorlunngunarpoq	stinker; lugter kraftigt
sorluttooq	nil
sorluup iluani naanerit	polypper
sorluup tarparsimarna	næsefløj
sorluup tarparsimarna	næsefløj
sorlaajarpaa	nil
sorlaarpaa	nil
sororpoq	er afmagret
sororpaa?	hvor ramte han ham/det?
sororpaa?	nil
sorpaluttoruna?	hvad mon den støj skyldes?; hvor kommer den støj fra?
sorpassuit	nil
sorpiaa	nil
sorpiaagut	nil
sorpiaani	nil
sorpiaanit	nil
sorpiaanut	nil
sorruk	nil
sorrulluarpoq	nil
sorruppaluppoq	nil
sorruppoq	rammer vandet med et lille smæld
sorruttaarpoq	nil
sorraallivoq	nil
sorraappoq	er fræk; er grov; er uforskammet
sorraasaarpoq	nil
sorraatsuunngilaq	nil
sorsannaqaaq	nil
sorsappoq	har fået afsmag for noget
sorsuarinnippoq	nil
sorsuarisaavoq	nil
sorsuaraa	viser ham særlig omsorg
sorsuffigaa	er i krig med det; fører krig imod det
sorsuffik	krigsskueplads (-en); slagmark (-en)
sorsukkiartorpoq	nil
sorsukkiartorpaa	nil
Sorsunnata	(navnet på den grønlandske fredsbevægelse)
sorsunneq	krig (-en)
sorsunnermi atortussat	krigsmateriel (-let)
sorsunnersuaq	nil
sorsunnersuaq kingulleq	Anden verdenskrig (1939-45)
sorsunnersuaq siulleq	Første verdenskrig (1914-18)
sorsuppoq	er i krig; fører krig
sorsuppaa	nil
sorsuppaa I	er i krig med det; fører krig imod det
sorsuppaa II	kommer for at skælde ham ud
sorsuttoqalernerani ikiortissamaatit	hjemmeværn
sorsuttut	de der fører krig; de krigsførende
sorsuttaannarpoq	nil
sorsuukkumajunnaarput	nil
sorsuukkumallerput	nil
sorsuupput	de fører krig mod hinanden; de er i krig med hinanden
sorsuusorinermik takorluukkat	storhedsforestilling
sorsuussuaq	nil
sorsuut	krigsskib (-et)
sorsuuteeraq	inspektionsskib (-et)
sorsuutigissaarpaat	nil
sorsuutigiunnaarpaat	nil
sorsuutigaat	nil
sorsuuttorujussuupput	nil
sorsaakkunnaarpaa	nil
sorsaappaa	har fået afsmag for den (maden)
sorsaatiginngilaa	nil
sorsaatigaa	nil
sorsaativippaa	nil
sorujuiarpaa	renser det for snavs og urenheder
sorujuiaavoq	nil
sorujuk	nil
sorujuk I	skidt (-et); snavs (-et)
sorujuk II	en uduelig person
sorujunippoq	nil
sorujussunnippoq	nil
sorususseseqannginneq	sløvsind
sorusussuseeruttoq	apatisk
sorusussuseeruttoq	apatisk
sorusussuseqanngitsoq (naleqq. sunianngitsoq)	passiv
soruukkaluttuinnarput	nil
soruupput	nil
soraajanngilaq	nil
soraajanngissuseq (naleqq. sivisussuseq)	varighed
soraajavoq	nil
soraajuippoq	varer evigt; hører aldrig op
soraajuitsumik	nil
soraarneq	fratræden
soraarneq	pensioneret; pensionist (-en); forhenværende
soraarnermi ajunngitsorsiassat	fratrædelsesgodtgørelse
soraarnersiutit (s.i. borgmesterit il.il.)	efterløn
soraarnerussuteqarneq pissutigalugu taarsiissutissanik annikillilii	erstatningsnedsættelse pga. pension
soraarnerussutisialik; pisartagalik	pensionist
soraarnerussutisiaqartitsineq	pensionsordning
soraarnerussutisiassaleriigaq	pensionssikret
soraarnerussutisiat	pension (-en)
soraarnerussutisiat akileraaruteqaataanerat	pensionsbeskatning
soraarnerussutisiat ataatsikkut ataasiakkamik tunniunneqarnerat	kapitalpension
soraarnerussutissanik nammagaqarneq	pensionsbyrde
soraarnerussutissatut katersukkanut konto	kapitalpensionskonto
soraarnerussutit	ratepension
soraarninngornissanut akilersuutit (ingerlaavartumik)	pensionsbidrag, (løbende)
soraarninngorpoq	er blevet pensioneret
soraarpoq	nil
soraarpoq	holder op; tager sin afsked
soraarput	nil
soraarsimavoq	nil
soraarsippaa	afskediger ham; fyrer ham
soraarsippaa (LM)	fyre
soraarsitsisinnaa(titaa)neq	afskedigelseskompetance
soraarsitaagallarneq	suspension
soraarsitaagallarneq; tunuartitaagallarneq	suspension
soraarsitaaneq	afskedigelse
soraarsitaanermut patsisaasoq	afskedigelsesgrund
soraartariaqarneq	afsked
soraartussaq	nil
soraarulluinnarpaa	nil
soraarummeeqqinneq	omeksamination
soraarummeerneq	eksamen
soraarummeerneq	eksamen (-en)
soraarummeerneq	eksamen
soraarummeerneq	adgangsgivende eksamen
soraarummeerneq (bachelorissatut)	bacheloreksamen
soraarummeerneq ilinniaqqiffinnut isissutaasartoq (LM)	adgangseksamen
soraarummeerneq pillugu naammagittaalliuutit	eksamensklager
soraarummeerneq pillugu naammagittaalliuutit	eksamensklager
soraarummeerneq; soraarummeersitsineq	eksamen
soraarummeernermi nakkutilliineq (naleqq. saqqummiussassanik killil	censur
soraarummeernermi naliliisoq	censor
soraarummeernermi pisinnaasassaq	eksamensfordring
soraarummeernermut atuarsimasassatut missingersuut	standardpensum
soraarummeerpoq	er til eksamen
soraarummeersimanermut uppernarsaat	eksamensbevis (-et)
soraarummeersimanermut uppernarsaat	eksamensbevis
soraarummeersimanermut uppernarsaat; angusinermut allagartaq uppern	eksamensbevis
soraarummeersimanissamik piumasaqaateqarneq	adgangsbetingelse
soraarummeersippaa	eksaminerer ham; holder eksamen for ham
soraarummeersitsineq	eksamination
soraarummeersitsineq	eksamination
soraarummeersitsisoq	eksaminator
soraarummeersitsisoq	eksaminator
soraarummeersitsisoq	eksaminator
soraarummeertitsisup naliliisussallu karakteriliiniarnerat	votering
soraarummeertoq	eksaminand
soraarummeertoq; soraarummeersitaq	eksaminand
soraarummeertunik nalileeqataasoq	censor
soraarummeerut (bacheloritut)	bacheloreksamen
soraarummeerutissaq	eksamensopgave
soraarummeerutissaq; pisassiissut	eksamensstof
soraarummeerutit	eksamensopgaver (-ne)
soraarummiissalluni annilaanganeq	eksamensfeber
soraaruppaa	holder op med det; opgiver det
soraarussaq	nil
soraarut	nil
soraarutivippaa	nil
soraarutaavoq	nil
soya	soya (-en)
spaghetti	spaghetti (-en)
spandi	gulvspand (-en)
sparekasse	sparekasse (-n)
sparekasse	sparekass
specialarbejderi	specialarbejder (-en)
speciale	speciale
specialklasse	specialklasse (-n)
spejderi	spejder (-en)
spinatit	spinat (-en)
sporti	sport (-en)
spritti	sprit (-ten)
sseerpoq	nil
sseersartoq	nil
sseersitsivoq	nil
sseersuliaq	nil
Stationeqarfiit	Stationer
stencili	stencil (-en)
stereomik tusarnaarut	stereoanlæg (-get)
stewardesse	stewardesse (-n)
STI	STI
studienævni	studienævn
støttepersoni	støtteperson
støvsugeri	støvsuger
su	nil
sua?	nil
sua?	nil
sua? I	hvilken del af det?
sua? II	hvad laver han?
suak	nil
suakattaqinagu	nil
suakattarpaa	nil
suallanngilaq	får ikke noget ud af det; gør noget forgæves
suallappa?	nil
suallappoq	nil
suallappungamitaava!	hvad fik jeg så ud af det!
suallaatiginngilaa	nil
sualoqqinga	nil
sualuginartoq; -umanngitsoq	utilbøjelig
sualugisassaanngilaq	man kan ikke sige det er for meget
sualugissaavoq	nil
sualugaa	nil
sualukkunnaarpoq	nil
sualukkuppaa	nil
sualukkussivoq	nil
sualummik	særlig; især
sualunnerpaaffik	kulmination
sualuppallaaqaaq	nil
sualuppoq	er meget; er slem; er voldsom
sualuttoq	voldsom
sualuttumik	alt for meget; for voldsomt; overdrevent
sualuunniit	nil
suami	en lille smule; kun lidt
suami-tassa	nil
suami-tassa	nil
suamitassa	det var ikke meget
suampeqarpoq	nil
suampi	nil
suangarluffigaa	nil
suangarluppaa	nil
suangasooq	nil
suangasaarpoq	nil
suangavallaanngilaq	nil
suangavallaaqaaq	nil
suangavoq	nil
suangavoq I	er kraftig; er kraftigt bygget
suangavoq II	siger noget hårdt
suaninngaanniit	nil
suanippoq	nil
suanit	nil
suanngallugu	nil
suanngappaa	siger noget hårdt til ham
suanngarpoq	er blevet kraftig; er svulmet op
suanngarsarpaa	nil
suanngartippaa	nil
suanngassivoq	nil
suanngavigaa	siger noget hårdt til ham
suanngaatigaa	nil
suappallaaqaa	nil
suappoq	nil
suappaa	taler hårdt til ham
suarrutigaa	nil
suarsuit	småting (-ene)
suarsuk	nil
suarsunnguit	nil
suarsuppassuit	nil
suassui	nil
suatigut	nil
suattooq	nil
suatungaa	nil
sueq	trækvind (-en); vindpust (-et)
sueqaaq	nil
suerpallaaqaaq	nil
suerpoq	det trækker
suersorsuuvoq	nil
suersuaq	nil
suerullugu	nil
sueruppoq	har ikke mere tilbage; er udgået for noget
sueruppaa	nil
sueruttoorpoq	nil
suffakkaluttuinnarpoq	nil
suffalluarpoq	nil
suffappoq	nil
suffarippoq	nil
suffarissiartorpoq	nil
suffaserpaa	nil
sufferpianngilaq	nil
sufferpoq	nil
suffivoq	gyder
sugaiuk?	nil
sugiippat?	nil
sugiippisi?	nil
sugiipput	de er beslægtede
suginngisaq	nil
sugippammi	nil
sugisaq	slægtning (-en)
sugisaqarpoq	nil
sugisariipput	de er beslægtede
sugisaaruppoq	nil
sugujami	nil
suguppit?	hvad har du lyst til at spise/drikke?
sugaa?	nil
sugaagippammi	nil
sugaajuk?	hvordan er du i familie med ham?
suiallalluni	nil
suiallappoq	man kan mærke et sus eller vindpust
suiallattarpoq	nil
suialuppoq	nil
suialutsikkiartorpoq	nil
suialaannguaq	luftning (-en); vindpust (-et)
suialaarpoq	nil
suiaq?	nil
suiikkutaq	nil
suiikkutaq I	tidsfordriv (-et)
suiikkutaq II	kone (-n); hustru (-en)
suiikkutaraa	nil
suiikkutaavoq	nil
suikkak	nil
suikkaassusia	nil
suikkaavoq	er solid; er tæt
suilatsisorsuupput	nil
suilatsivoq	mangler mad; lider nød
suilaaqivoq	får tiden til at gå med noget; fordriver tiden med noget
suilaaqusersorpaa	nil
suilaaqut	nil
suilaaqutaavoq	nil
suilaarsarpoq	får tiden til at gå med noget; fordriver tiden med noget
suilaarsaammik	nil
suilaarsaarpoq	nil
suilaarsaat	nil
suilaarsaataavoq	nil
suinni	nil
suinnippoq	lugter af ræv
suisuajunnaarpoq	nil
suisuavallaanngillat	nil
suisuavoq	mangler mad; lider nød
suit?	hvad vil du?; hvad laver du?
suiaassuseq	køn
suiaassuseq	køn
suiaassutsikkut ileqqut	kønsrolle
sujumannginneq	uvirksomhed
sukakkaluttuinnarpoq	nil
sukalaneq	aggression
sukalaneq	aggressivitet
sukalaneq	agressivitet
sukalasuujuneq	agressivitetsdrift
sukalavoq	er dygtig; er skrap (til sport)
sukangasooq (naleqq. sunnerneqarsinnaanngittoq)	rigid
sukangasaarpoq	nil
sukangavallaarpoq	nil
sukangavoq	nil
sukangavoq I	er stram
sukangavoq II	er streng
sukannerpallaaqaaq	nil
sukannerpoq	er streng
sukannersorsuuvoq	nil
sukanngavigisaavoq	nil
sukanngavigaa	siger noget hårdt til ham
sukanngaallagaa	nil
sukanngaallappoq	nil
sukannisarpoq	nil
sukannisartaqinak	nil
sukappoq	strammes
sukappaa	strammer det
