13-skala	«13»skalo
påvirker noget/påvirker nogen	influas io/influas iu
påvirkes af andres dialekt eller skikke	influigxas de de duaj dialekto aü sendi
påvirket af	påvirket de
påvirkning	impreso
Qaqortoq   julianehåb	Qaqortoq   Julianehåb
Qasigiannguit   christianshåb	Qasigiannguit   Christianshåb
Q-DATA	Q-DATA
q-data	«Q»«datum»
q-data	«q»«datum»
Qeqertarsuaq   godhavn	Qeqertarsuaq   Godhavn
rabarber	rabarbo
race	raso
racisme	rasismo
radar	radaro
raderinger	akvafortoj
radiator/varmeapparat/varmeovn	hejtilo/varmecaparato/varmecforno
radioapparat	radiaparato
radioavis	radigazeto
radiofjeldet	la radimontaro
radiogudstjeneste	radidiservo
radiohus	radidomo
radiolyttere	radiauxskultantoj
radioprogram	dissendajxo
radio	radio
radiosonde	radisondilo
radiostation/telestation	radiostacio/telstacio
radiostøjdæmpning	radi«støjdæmpning»
radioteater	raditeatro
radio/transistor/radioapparat/radiomodtager ( -	radio/transistoro/radiaparato/radioricevilo ( -
radise	rafaneto
radius	radio
raffinaderi	raffinadero
rager frem/er synlig	tusxas antauxen/estas videbla
rager højt op	tusxas alta supren
rager op i det/roder op i det	tusxas supren en gxin/(sercx)fosas supren en gxin
rager ud/rager frem/er fremspringende	tusxas eksteren/tusxas antauxen/estas korbela
raket	raketo
rammeaftaler	«Ramm»interkonsentas
rammebevilling	kadrkoncesio
rammeendossement	kadrsurdorsigo
ramme	kadro
rammelov	kadrlegxo
rammeområdegrænse	rammeområdegrænse
ramme, passende	kadro, tauxg(ig)anta(j)
rammer dem med ét skud/rammer dem med ét stenkast	trafas ilin kun unu pafo/trafas ilin kun unu sxtonjxeto
rammer det lige i midten	trafas gxi gxuste en la mezo
rammer det lige på toppen	trafas gxi gxuste sur la pinto
rammer det med en pil	trafas gxi kun * sago
rammer det med en sten eller noget andet	trafas gxi kun * sxtono aü io alia
rammer det med et fuglespyd	trafas gxi kun * birdlanco
rammer det/træffer det/gætter rigtigt	trafas gxi/trafpafo gxi/divenas gxuste
rammer det uden at dræbe det/preller af på det ( om et fangstvåben	trafas gxi sen * murdi gxin/resaltas * sur gxin ( je * cxasajxarmilo
rammer dårligt	trafas malbone
rammer ham/det i hovedet	trafas lin/gxi en la kapo
rammer ham i øjet	trafas lin en la okulo
rammer ham med sværdet	trafas lin kun la glavo
rammer hele tiden ved siden af det	trafas dauxre apud gxin
rammer helt ved siden af	trafas tute apude
rammer hen over målet	trafas trans la celo
rammer lige oven over det	trafas gxuste super gxin
rammer lige ved siden af det	trafas gxuste apud gxin
rammer ofte ved siden af/skyder dårligt	trafas ofte apude/pafas malbone
rammer vandet med et lille smæld	trafas la akvo kun * malgranda krako
rammes af ulykke og elendighed	trafigxas de akcidento kaj mizero
rammestyringsprincip	«rammestyring»principo
randzone, isens	randzono, de la glacio
ranglet	senkarne
ransagning	ransagning
rapport/beretning	raporto/prdirekto
rapporteringsformen	la «rapportering»formo
rapporteringsform	«rapportering»formo
rapport	raporto
rapseri	marodado
rar &	afabla &
raserianfald	furiozecatako
raskmelding	sanavizo
rasler/rumler	susuras/rulbruas
rasp	paneraro
rastløs	ripozmanka
rate	partpago
ratepension	direktilpensi(on)o
ratificering	ratificering
ratifikationsinstrumenter	ratifinstrumentoj
rationalisering	rationalisering
rationel	racia
rationere/gemme noget til senere brug	rationere/kasxi io al pli malfrua uzo
rationerer det/holder hus med det	rationere gxi/tenas domo kun gxi
rationering	porciado
ravneunge	korvido
ravneøerne	ravneøerne
ravn	korvo
ravns storø	de korvo storø
reagere	reagi
reagerer hurtigt/handler hurtigt	reagas preste/agas preste
reagerer ikke/forholder sig passiv	reagas ne/interrilatas sin pasiva
reagerer	reagas
reaIIøn	reaIIøn
reaktion	reago
realindkomst	realenspezo
realisering/virkeliggørelse	realig-ado/efektiv«gørelse»
realisme	realismo
realist/én der har realeksamen	realisto/unu kiu(j) havas realekzameno
realitet	realeco
realitetssans	realec«sans»
realitetstestning	realec«testning»
realkapital	realkapitalo
realklasse	realklaso
Realkreditinstitutioner	Realkreditinstitutioner
realkreditinstitut	real«kreditinstitut»
realkreditlov	«realkredit»legxo
realkreditlån	«realkredit»prunto
realrente	realinterezo
realskole	mezgrada lernejo
realtidsopdatering	«realtid»«opdatering»
realværdi	reala valoro
realøkonomiske fordeling	realekonomia distribuo
reb/snor	sxnur(eg)o/sxnuro
reception	recepto
recept	recepto
recidivist	recidivisto
recipientforhold	recipientcirkonstanco
redaktion	redakcio
redaktør	redaktisto
redaktør/redigeret af+/organisator	redaktisto/redaktita af+/organisator
redder ham/det/frelser ham	savas lin/gxin/savas lin
redder sig i sidste øjeblik/bliver reddet med nød og næppe	savas sin en lasta momento/igxas savita kun peno
redegørelse	pret«gørelse»
Redegørelse	Redegørelse
redegørelsesblanket	«redegørelse»blanketo
reder det ud	ordigas gxi eksteren
reder hans hår/reder ham/friserer ham	ordigas lia(j) har(ar)o/ordigas lin/frizas lin
rederivirksomhed	«rederi»entrepreno
reder seng/gør sengetøjet klar for natten	ordigas lito/faras la litajxo klara por la nokto
reder seng	ordigas lito
reder sit hår/reder sig/friserer sig	ordigas sia har(ar)o/ordigas sin/frizas sin
reder skaglerne ud	ordigas la flanktimonoj eksteren
redning	savo
redningsbåd	savboato
redningsomkostninger	savelspezoj
redningstjeneste	savservo
redningsvest/redningskrans	savovesxto/savkrono
redskab til hvalrosjagt	ilo al rosmarcxasado
reduceret knoglevæv	reduceret osthisto
reduceret pension	reduceret pensi(on)o
reduktion/nedskrivning	redukto/depreco
reduktion	redukto
reeksamination	reeksamination
reeksport	reeksport
referancegrundlag	referancegrundlag
referatforbud	referajxmalpermeso
referat	referajxo
referenceramme	referenckadro
reference	referenco
referent	raportisto
refererer det/laver et uddrag af det/laver et resumé af det	referas gxi/faras * elprenajxo de gxi/faras * epitomo de gxi
refIation	refIation
refleksion	reflekso
refleks	reflekso
reflekterer	reflektas
reflexer	refleksoj
reformarbejde	reformlaboro
reformatio in pejus	reformatio en pejus
reformationen	la reformacio
refundere	repagi
refusion	repago
refusionsopgørelse	repagbilanco
regelfastsættelse	regul«fastsættelse»
regel/ordensregel/anvisning/rettesnor	regulo/ordregulo/indiko/kanono
regel	regulo
regelsæt	regulserio
regeringer, kontraherende	registaroj, kontraux-(ig)anta(j)
regering/myndigheder	registaro/instancoj
region	regiono
register	registro
regi	stiro
registrerer dem/noterer dem ned/skriver dem op	registras ilin/notas ilin malsupren/skribas ilin supren
registrere	registri
registreret partnerskab	registrita partnereco
registrering af rettigheder	registrado de rajtoj
registreringer	registradoj
registrering/protokol	registrado/protokolo
registrering	registrado
registreringspligt	registraddevo
registreringspolitik	registradpolitiko
registreringsvirksomhed	registradentrepreno
reglement	regularo
regler/anvisninger	reguloj/indikoj
regler	reguloj
regnbue	cxielarko
regnbuehindebetændelse	irisinflamo
regnbuehinde	iriso
regndisen er blevet til tåge	la pluvnebuleto estas igxis al nebulo
regndråber	pluveroj
regnebog	pluvlibro
regnen siler ned	la pluvo sile malsupren
regneopgave	pluvtasko
regner det ud/beregner det/laver en opgørelse over det	pluvas gxi eksteren/kalkulas gxi/faras * bilanco super gxin
regner ham/det ikke for noget/ringeagter ham/det	pluvas lin/gxi ne por io/malestimas lin/gxin
regner ham ikke for noget/venter sig ikke noget af ham/har ikke s	pluvas lin ne por io/atendas sin ne io de lin/havas ne s
regner med det/forventer det/forudsætter det	pluvas kun gxi/atendas gxi/premisas gxin
regner noget ud i hovedet	pluvas io eksteren en la kapo
regner/tæller	pluvas/nombras
regnfrakke	makintosxo
regning/faktura	fakturo per fakturo
regning	fakturo
regnmåler	pluvmezurilo
regnorm	lumbriko
regn	pluvo
regnskabsaflæggelse	bilancraporto
regnskabsafslutning	spezkalkulfinisxo
regnskabsforståelse	spezkalkulkompreno
regnskabsfører	spezkalkulgvidanto
regnskabsføring/bogholderi	spezkalkulgvido/librotenado
regnskabsføring/- else	spezkalkulgvido/- Else
regnskabshæfte	spezkalkulmalliberigo
regnskabsmateriale	spezkalkulmaterialo
regnskab	spezkalkulo
regnskabsskema	spezkalkulleciontabelo
regnskabsår	financa jaro
regnskabsår/finansår	financa jaro/financjaro
regntøj	pluv(vest)ajxo
regreskrav	«regres»postulo
regres	regres
regresret	«regres»rajto
regression	«regres»ado
regulativ	regulativ
regulator	regilo
regulering	regul-ado
reguleringsforanstaltning	«regulering»«foranstaltning»
reguleringspristallet	«regulering»«pristal»
reguleringspristal/pristal	«regulering»«pristal»/preznombro
reguleringspristal	«regulering»«pristal»
rehabiliterende	rehabilitanta(j)
rehabilitering	rehabilitado
reinkarnation	reenkarnigxo
reinvestering	reinvestering
rejeafgiften	la markankretimposto
rejeafgift	markankretimposto
rejefabrik	markankreto
rejefelt	markankretkampo
rejefiskeri	markankret«fiskeri»
rejekutter	markankretkutro
reje	markankreto
rejseaktivitet	vojagxaktiveco
rejsebureau	vojagxoficejo
rejseforsikring	vojagxasekuro
rejsegodsforsikring	pakajxasekuro
rejsegodtgørelse	vojagxkompenso
rejselegat	vojagxstipendio
rejseproviant	vojagxprovianto
rejserabat	vojagxrabato
rejser det op/hjælper ham op	vojagxas gxi supren/helpas lin supren
rejser langs kysten	vojagxas laux la (mar)bordo
rejser med flyvemaskine/flyver	vojagxas kun flugmasxino/flugulo
rejser nordpå	vojagxas nordpå
rejser sig halvt op fra liggende stilling	starigas sin duone supren de liggende pozicio
rejser sig halvt op	starigas sin duone supren
rejser sig op af bare iver mens han ...	starigas sin supren de nura fervoro dum li ...
rejser sig op igen	starigas sin supren denove
rejser sig op	starigas sin supren
rejser sig pludselig op	starigas sin subite supren
rejser sig på bagbenene	starigas sin sur la malantauxgamboj
rejser sydpå	vojagxas sydpå
rejser til handelsstedet	vojagxas al la komercloko
rejser vestpå	vojagxas vestpå
rejser østpå	vojagxas østpå
reklamation	plend-(aci)o
reklameomkostninger	reklamelspezoj
reklame	reklamo
rekommandationer	rekommandation
rekommanderet brev	rekomendita letero
rekommandering	komand-ado
rekonstruktion	rekonstruktion
rekord	rekordo
rekreation	refresxigxo
rekreationshjem/hvilehjem	refresxigxhejmen/ripozhejmen
rekreative arealer	rekreativ areoj
rekreerer sig/er på rekreation	rekreere sin/estas sur refresxigxo
rekruttering af arbejdskraft	rekruttering de «arbejds»forto
rektangel	ortangulo
rektor	rektoro
relaksation	rilakso
relationer	rilatoj
relation	rilato
relativisme	relativismo
relativ	relative
relevant	signif(iv)e
religion	religio
religion/tro/trosretning	religio/kredo/konfesio
remburs	remburs
remittent	remittent
remmene mellem slædens opstandere	la rimenoj inter de la sledo sorstandardoj
remmen på en kamik/snørebånd	la rimeno sur * kombil(ik)o/lacxo
remmesæl	remmesæl
remme til fastgørelse af tværtræerne på en slæde	rimenoj al firm«gørelse» de la transversarboj sur * sledo
rem	rimeno
remser dem op	listigas ilin supren
remulade/remoulade	remolado/remolado
renavler	pur«avler»
renbuk	purviro
render folk på dørene/besøger folk i tide og utide	kuregas popolo sur la pordoj/vizitas popolo gxustatempe kaj trofruo
render folk på dørene	kuregas popolo sur la pordoj
render frem og tilbage	kuregas antauxen kaj re(en)
render rundt og har travlt/er fortravlet	kuregas ronde kaj havas rapideme/estas fortravlet
rengøringsassistent/rengøringshjælp	purigisto/«rengøring»helpo
rengøringspersonale	«rengøring»laborantaro
renjagtområde	pur«jagtområde»
renjægerlejr	renjægerlejr
renkalv	purbovido
Renko	Renko
renlighed	rangifereco
renlighedstræning	«renlighed»«træning»
renlig	pureme
renovation	renovigo
renovationsarbejder/skraldemand	renoviglaboristo/rubforigisto
renovering	renov-ado
rensdyravl	rangiferbredado
rensdyrjæger/renjæger	rangifercxasisto/purcxasisto
rensdyrlav	kladonio
rensdyrmavens halvfordøjede indhold	de la rangiferventro halvfordøjet enhavo
rensdyr	rangifero
rensdyr/ren	rangifero/pura
renser det for blod	purigas gxi por sango
renser det for snavs og urenheder	purigas gxi por koto kaj malpurecoj
renser det for sod	purigas gxi por fulgo
renser det for urenheder	purigas gxi por malpurecoj
renser det	purigas gxin
renser fisken for skæl	purigas la fisxo por skvamo
renser hullet i isen for isstumper	renser brecxigita en la glacio por glaci«stumpe»
renskindsanorak	renskindsanorak
renskriver det/skriver det om	rangiferskribas gxi/skribisto gxi *
rensø	purlago
rentabilitet	rentabilitato
renteadvis	interez«advis»
rentearbitrage	interezarbitragxo
renteberegning	interez«beregning»
rentedekort	interez«dekort»
rentefod	rentumprocento
Renteindtægter, aktieudbytter og dividender mv.	Renteindtægter, akciprofitoj kaj dividatoj ktp.
renteindtægter	interezenspezoj
rente	interezo
rentemarginal	interezmargxena
rentemodtager/- nyder	interezricevanto/- gxuas
renteniveau	intereznivelo
renteomkostninger	interezelspezoj
renter	interezoj
rentesats	intereztarifo
rentespænd	interez«spænd»
rentetilpasningslån	rentetilpasningslån
rentetilskrivning	interez«tilskrivning»
rentetilskud	interezsubvencio
reparation	reparacio
reparationsfase	reparacifazo
reparatør	repar-isto
repeaterstation	repeaterstation
repetition	ripetado
repressiv	subprem-*a
repræsentant	delegito
repræsentantskab	kontrolkonsilio
repræsentation, første	reprezentantaro, unua
repræsentation	reprezentantaro
republik	republiko
reservat/et fredet område	rezervejo/* fredet regiono
reservation	reten-(aci)o
reservedele	rezervpartoj
reservedel	rezervparto
reservefond	rezervfonduso
reservelæge	rezervkuracisto
reserver, båndlæggelse af	rezervoj, ligil«læggelse» de
reserverer det	antauxmendas gxi
reserverer det til en anden	antauxmendas gxi al * alia
reserverer det til senere brug/gemmer det	antauxmendas gxi al pli malfrua uzo/kasxas gxin
reserve	rezervo
reserver	rezervoj
reservoir	rezervujo
resignation	malprotesto
resistensbestemmelse	«resistens»destino
resistens	resistens
resistent bakterie	resistent bakterio
resocialicering	resocialicering
resocialiceringsstøtte	resocialiceringsstøtte
resocialisering	resocialisering
resolution, kongelig	resolucio, regxe
resolution	resolucio
respekt/det at vise respekt	respekto/gxin * montri respekto
respekterer det/vil nødig forstyrre ham	respektas gxi/volas malvolonte gxeni lin
respekterer ham/ærer ham/sætter ham højt	respektas lin/respektas lin/metas lin alte
respirationsorganer	spiradorganoj
respirator	respirator
respondent	respondent
responsum	«respons»o
ressortområde	«ressort»regiono
ressource	ressource
ressourcer, fysiske	ressource, korpa
ressourcer, levende	ressource, vivanta(j)
ressourcer	ressource
restance	rest(ajx)ado
restancer, inddrivelse af	rest(ajx)adoj, inddrivelse de
restancer, lempelige afdragsordninger v .	rest(ajx)adoj, akomodita partpagarangxoj v .
restaurant/cafeteria/grillbar/café ( - en	restoracio/kafeterio/kradrostilnura/kafejo ( - onin
restaurant/restauration/værtshus/bar/bo	restoracio/renovig-(aci)o/trinkejo/baro/postlasajxo
restaurant	restoracio
restgæld	rest(ajx)sxuldo
rest/noget der er blevet til overs	rest(ajx)o/io kiu(j) estas igxis reste
restriktioner, kvantitative	restriktoj, lauxkvanta
restriktioner	restriktoj
restrummelighed	rest(ajx)vasteco
restskat	rest(ajx)trezoro
restværdiforsikring	restværdiforsikring
resultatet	la atingajxo
resultatopgørelse	spezkalkulo
resumé	epitomo
retarderet	retarderet
retentionsplade	«retention»disko
retfærdighed	justeco
ret	gxuste
ret, lige	gxuste, gxuste
retlig interesse	retlig intereso
retning	direkto
retningsforholdsendelse	retningsforholdsendelse
retningslinier	direktlinioj
retningsmærke/pejlemærke	direktsiumo/birekrimarko
ret/retslokale/retssal/domhus	gxuste/«rets»ejo/«rets»salono/jugxejo
retsassessor	«rets»asesoro
retsbeskyttelse	«rets»auxspicio
retsbevidsthed	jurkonscio
retsbog	«rets»libro
retsforfølgelse	«rets»pogromo
retsforfølgning	«rets»«forfølgning»
retsforhold	«rets»cirkonstanco
retsforlig	«rets»kompromiso
retsformand	«rets»estro
retsforskrift	«rets»instrukcio
retsgode	«rets»bonajxo
retsgyldig	regxoforte
retshjælp	jura konsilado
retshjælpsforsikring	jura konsiladasekuro
retshåndhævelse	«rets»apliko
retsinstans	«rets»instanco
retskraft	«rets»forto
retskreds	«rets»cirklo
retskrivning/ortografi/håndskrift	ortografio/ortografio/manskribo
Retslægerådet	Retslægerådet
retsmediciner	«rets»medicinisto
retsmøde	jugxdebato
retsplejelov	«retspleje»legxo
retspleje	«rets»flego
retspraksis	«rets»praktiko
retsprotokol	«rets»protokolo
retsregler	«rets»reguloj
retssager	procesoj
retssag	proceso
retssekretær	«rets»sekretario
retssikkerhed	«rets»sekureco
retssprog	«rets»lingvo
retsstilling	«rets»pozicio
retsstridig	«rets»«stridig»
retstilstand	«rets»stato
retstvist	«rets»kotonrulajxo
retsudøvelse	«rets»praktikado
retsvirkninger	«rets»efikoj
retsvæsen	«rets»«væsen»
rettelse	gxustigo
rettelse/rettet	gxustigo/korektita
rettelsesredegørelse	gxustig«redegørelse»
retten/domstol	la plado/jugxejo
rettens pleje, lov om	de la rajto flego, legxo je
retter det mod målet/sigter på det	korektas gxi kontraux la celo/akuzas sur gxin
retter det/retter på ham/korrigerer ham/det	korektas gxi/korektas sur lin/gxustigas lin/gxin
rettergangsbøder	procedur«bøde»
rettergangsfejl	procedureraro
rettergangsfuldmægtig	procedurplenrajtigito
retter på det/ordner det	korektas sur gxin/ordigas gxin
retter sig efter det	korektas sin post gxin
retter sig ud/bliver lige	korektas sin eksteren/igxas egala
rette vedkommende	gxusta koncerno
rettighed, bevarelse af	rajto, bevarelse de
rettighed, kontraktretlig	rajto, kontrakt«retlig»
rettighed	rajto
rettighedshaver	rajt«shaver»
returcheck	returncxeko
returflasker	returnboteloj
retvinklet	ortangule
revaccinere	revaccinere
revalidere	revalidere
revalidering	revalidering
revalideringsforanstaltning	«revalidering»«foranstaltning»
revalideringsstøtte	«revalidering»apogo
revaluering	revaluering
reviderer noget/læser korrektur/retter stile	revizias io/legas gxustigo/korektas direkti
revideret	reviziita
revision	revizio
revisionsanmærkning	revizirimarko
revisionsberetning	«revisions»«beretning»
revisionsopgørelse	revizibilanco
revisor	bilancrevizoro
revne	fendo
revne i knoglen	fendo en la osto
revner	krevas
revner/sprækker/brækker	krevas/eksplodas/rompas
revner/sprækker	krevas/eksplodas
revne/spalte	fendo/fendo
revolution	revolucio
revurdering	revurdering
rhagade	rhagade
rheinlænder	rheinlænder
ribben	la ripo
ribbensstykke	rippeco
ribs	ribo
ridder	kavaliro
ridebukser/knæbukser	ridebukser/knæbukser
ride	kitio
rider/er til hest	rajdas/estas al cxevalo
rider	rajdas
rider videre på bølgetoppen	rajdas plu sur la ondpinto
ridse/kløft/fure/rille	ridse/fendo/sulko/sulkajxo
ridser det/laver ridser i det	skrapas gxi/faras skrapas en gxin
ridse	ridse
rier det	rier gxin
riffel	riffel
rift/et sår efter krads	sxireto/* vundo post krads
rift/hudafskrabning	sxireto/ekskoriajxo
rift	sxireto
rigdom	ricxeco
rigid	rigid
rigmand	ricxviro
rigsadvokat	«rigs»advokato
rigsenhed	«rigs»unueco
rigsfællesskab	«rigs»kuneco
rigsmyndigheder	ricxinstancoj
rigsombudet	«rigs»«ombud»
rigsombudsmanden	la «rigs»sindiko
rigsombudsmand	«rigs»sindiko
rigtigt/retfærdigt/på en træffende måde	gxusta/justa/sur * renkontanta(j) maniero
rig/velhavende	ricxa/bonhava
rimfrost	prujnfrosto
rim/isblomster	prujno/glacifloroj
rim i vers	prujno en verso
rim	prujno
rimtåge	prujnnebulo
ringen på den øverste kant af en spand	la ringo sur la plej alta egxo de * sitelo
ringen på en ammassætøse eller fugleketsjer	la ringo sur * ammassætøse aü birdrakedo
ringfinger	ringfingro
ringmærkning af fugle	ringsignado de birdoj
ring	ringo
ringsæl/netside/fjordsæl	ringfoko/sxikemflanko/fjordfoko
ringsæl/netside	ringfoko/sxikemflanko
ringsælunge/netsideunge/fjordsælunge	ring«sælunge»/flankido/fjord«sælunge»
riser ham op	vergas lin supren
risikoadfærd	riskkonduto
risikobarn	riskinfano
risikoforandring	risksxangxo
risikogruppe	riskgrupo
risiko	risko
risikovillig kapital	riskvolonta kapitalo
ris/risengryn	rizo/rizo
rister det	rostas gxi
rister kaffebønner	rostas kaffazeoloj
ritual	rit(ar)o
rive	rastilo
river det i stykker	sxiras gxi * stykke
river det i stykker/sønderriver det	sxiras gxi * stykke/dissxiras gxin
river det itu	sxiras gxi itu
river det ned/skiller det fra hinanden	sxiras gxi malsupren/disigas gxi de unu la alian
river det over/gennembryder det	sxiras gxi super/trarompas gxin
river det over	sxiras gxi super
river og kradser ham	sxiras kaj gratas lin
robust	fortike
robåd	remboato
rock	rokmuziko
rodbehandling	radikpritraktado
rodbetændelse	radikinflamo
roden af kvan	la radiko de angeliko
roder i lommen/lommerne	(sercx)fosas en la posxo/la posxoj
rodfraktur	radikfrakturo
rodfyldning	radikfarcxajxo
rod	hxaoso
rodkanal	radikkanalo
rodnet	radikreto
rodresorption	radik«resorption»
rodspidsbetændelse	«rodspids»inflamo
rodspids	radikpinto
roe	(rapo)beto
rogn	frajo
rokke	rajo
rokker det med en løftestang	skuas gxi kun * leviero
rokker frem og tilbage	skuas antauxen kaj re(en)
rollator	rollator
rolle	rolo
rollespil	rolludo
roman/novelle/eventyr	romano/novelo/aventuro
romantik	romantikismo
romerbrevet	la romianletero
romerskkatolsk	romkatolike
romertal	romanaj ciferoj
rommy	rommy
rom	rumo
ror af alle kræfter/ror til	remas de cxiuj fortoj/direktilo al
ror	direktilo
ror eller sejler efter sælens bevægelser	remas aü veturas post de la foko adukcioj
ror en tur i kajak	remas * ekskurso en o
rorgænger/styrmand/styrer/rorsmand	direktilisto/direktilisto/stiras/rorsmand
ror hurtigt frem for at kunne harpunere eller skyde det ( fangstdyre	remas preste prefere ol * povi harpuni aü pafi la ( cxasajxmultekosta
ror hurtigt frem for at kunne harpunere eller skyde et fangstdyr	remas preste prefere ol * povi harpuni aü pafi * cxasajxbesto
ror i kajak	remas en o
ror mod land/sejler ind mod land	remas kontraux lando/sejler enen kontraux lando
rorpind/rat	direktillignobastoneto/direktilo
ror/styreåre	remas/stirvejno
ror til af alle kræfter	remas al de cxiuj fortoj
rosenmåge	erizipelmevo
rosenrod	erizipelhxaoso
rosen	ros-1
roser ham	lauxdas lin
roser ham/lovpriser ham	lauxdas lin/lauxdas lin
rose	rose-1
rosin	sekvinbero
rotation	rotacio
rotorblad	rotorfolio
rotte	rato
rovdyr	karnivoro
rovfugl	rabobirdo
Royal Arctic Line A/s	Royal Arctic Line A/S
Royal Greenland A/s	Royal Greenland A/S
royalty	royalty
ruder	karoo
rufferi	ruffero
rugbrød i skiver/rugbrødsskiver	sekalpano en diskoj/sekalpandiskoj
rugbrød	sekalpano
ruger/ligger på æg	kovas/kusxas sur ovo
ruger over den	kovas super gxin
ruger over en uretfærdighed	kovas super * maljusteco
rugeæg	kovegxo
rugmel	sekalfaruno
rug/rugmel	sekalo/sekalfaruno
rug	sekalo
rulle/noget der er rullet sammen/sammenrullet	rulajxo/io kiu(j) estas rulis kune/sammenrullet
ruller det ind i noget/svøber det ind i noget	rulas gxi en io/(cxirkaux)volvas gxi en io
ruller det	rulas gxi
ruller det sammen	rulas gxi kune
rulleri	rulajxado
ruller ned/falder ned	rulas malsupren/falas malsupren
rulle	rulajxo
rullesten	marsxtono
rullesten/ral	marsxtono/sxtongruzo
rulletobak	rulajxtabako
rumfang/rummelighed	volumo/vasteco
rumme	enhavi
rumme følelser	enhavi sentoj
rummelighed/det at have et stort omfang ( i forhold til plads	vasteco/gxin * havi * granda vasteco ( respektive al loko
rummelighed	vasteco
rumskib	spacveturilo
rundbold/langbold	rondpilko/longpilko
rundkreds	rondcirklo
runger	sonoregas
rur/strandsnegl	balano/strandheliko
rus &	ebrio &
Rusland/sovjetunionen	Rusio/Sovet-Unio
rusmidler/narkotika	novstudentrimedoj/narkotikaj
rusmidler	novstudentrimedoj
russer	ruso
rustning	armado
rustning/brynje	armado/masxkiraso
rust	rusto
rute/vej	rute/vojo
ryg/bagside	dorso/dorsflanko
rygben	dorsgambo
ryg	dorso
ryger cigar	fumas cigaro
ryger	fumanto
ryger ikke	fumanto ne
ryger/oser/der er tåge	fumanto/haladzas/tie estas nebulo
ryger, salter eller tørrer ørreder på stedet	fumanto, peklas aü sekigas trutoj sur la loko
rygers gane	de fumanto palato
rygeværelse/rygesalon	fumcxambro/fumsalono
rygfinne	dorsnagxilo
ryghvirvel	dorsvertebro
ryghvivler	ryghvivler
ryglæn	dorsapogilo
rygmarv	mjelo
rygmarvsbedøvelse	mjelnarkotikado
rygmarvsbetændelse	mjelinflamo
rygmuskel	dorsmuskolo
rygrad/rygsøjle	spino/spino
rygskævhed	dors«skævhed»
rygstykket af en hvidhval/hvidfisk	la dorsajxo de * blankbaleno/blankfisxo
rygsæk	dorsosako
rygsøjlen	la spino
rygsøjle	spino
rygte	onidiro
rykkerbrev	«rykker»letero
rykker dem op	movas ilin supren
rykker den op	movas gxi supren
rykker nærmere til én	movas pli proksime al unu
rykningspåtegning	«rykning»«påtegning»
rynker den	sulkigas gxi
rynker på grund af væde	sulkigas pro væde
rynke	sulketo
rynket	faltigxinte
rype/fjeldrype	lagopo/montarlagopo
rypejæger	lagopcxasisto
rypekylling	lagopkokido
rypelyng	lagoperiko
rypetarme	lagopintestoj
rypeø	rypeø
rysten	skuado
ryster af kulde	skuas de malvarmo
ryster det/røer rundt i det	skuas gxi/røer ronde en gxin
ryster det/rører rundt i det	skuas gxi/movas ronde en gxin
ryster det	skuas gxi
ryster for det/gruer for det	skuas por gxin/grue por gxin
ryster over hele kroppen	skuas super tuta la korpo
ryster på hovedet	skuas sur la kapo
ryster sig	skuas sin
rytme	ritmo
rytter	rajdanto
ræber/bøvser	ruktas/ruktas
rækkefølge	sinsekvo
rækkehuse	vicdomoj
rækkehus	vicdomo
rækker armene ud efter noget	strecxas la brakoj eksteren post io
rækker armen ud for at få fat på det	strecxas la brako eksteren por * ricevi tene sur gxin
rækker det frem	strecxas gxi antauxen
rækker hånden op/markerer	strecxas la mano supren/markas
række	vico
ræklinger	ræklinger
ræling	apogrelo
rævedalen	la vulpvalo
rævefælde	vulpkaptilo
rævehule	vulpkaverno
rævesaks	«ræve»tondilo
ræveunge	«ræve»ido
ræv	vulpo
røber	malkasxas
rødalger	rugxalgoj
røde hunde	rugxa hunde
Røde Kors	Rugxa Kruco
rødfisk	sebasto
rød knoglemarv	rugxa ostomedolo
rødknæ	rugxgenuo
rødkål	rugxbrasiko
rødmen af tandkød	la rugxigxo de dentokarno
rødmen	la rugxigxo
rød	rugxa
rødstrubet lom	rugx«strube» kolimbo
rødved	rugxligno
røgelse	bonodorfumajxo
røger den/ryger den	fumumas gxi/fumanto gxi
røgeri	fumumado
røget	røget
røghul/udluftningsventil	fumtruo/aerumadvalvo
røgkanaler	fumkanaloj
rømmer sig/klarer halsen	malokupas sin/prisukcesas la kolo
rømmer sig	malokupas sin
røn	sorpujo
røntgenapparat	rentgenaparato
røntgenbillede	rentgenbildo
røntgendiagnose	rentgendiagnozo
røntgen	rentgeno
røntgenstråling	rentgenradiado
røntgenundersøgelse af led	rentgenekzameno de artiko
røntgenundersøgelse af nyrer og urinveje	rentgenekzameno de renoj kaj urinvojoj
røntgenundersøgelse af urinblæren	rentgenekzameno de la urinveziko
røntgenundersøgelse af venesystemet	rentgenekzameno de la amiksistemo
røntgenundersøgelse	rentgenekzameno
røntgenundersøger ham	rentgenanalizas lin
rørdrum	botauxro
rører rundt/vinker/blander kort/ryster det	movas ronde/mansvingas/miksas mallonge/skuas gxin
rører sig en smule	movas sin iomete
rørknogle	tubosto
rørledning	tubkonduktilo
rørlig formue	movebla kapitalo
rørlig ting	movebla ajxo
rørlægger	tubmetas
rør	tubo
røvere	rabistoj
røver	rabisto
råbalance	krudbalanco
